category,fname,prestime,Action_correct,Action_none,Action_wrong,Context_correct,Context_none,Context_wrong,Object_correct,Object_none,Object_wrong,Sensory_correct,Sensory_none,Sensory_wrong,KeyAction,KeyObject,KeyContext
communication,communication_waving.png,100.0,3,1,1,5,0,0,0,5,0,1,4,0,1,0,1
locomotion,locomotion_hiking1.png,100.0,5,0,0,4,1,0,5,0,0,2,3,0,4,5,3
food,food_seasoning.png,100.0,3,0,2,4,1,0,2,1,2,1,4,0,0,1,2
locomotion,locomotion_riding_bicycle.png,100.0,3,2,0,5,0,0,5,0,0,1,4,0,2,4,3
communication,communication_texting.png,100.0,5,0,0,3,2,0,2,0,3,2,3,0,0,1,0
hobby,hobby_fencing.png,100.0,5,0,0,3,2,0,4,1,0,3,2,0,4,2,1
hobby,hobby_collecting_mushrooms.png,100.0,4,1,0,5,0,0,4,1,0,1,4,0,1,1,5
communication,communication_writing_board2.png,33.3,3,1,1,1,3,1,0,3,2,1,3,1,1,0,0
cleaning,cleaning_cleaning_toilet.png,33.3,0,5,0,0,4,1,0,4,1,2,2,1,0,0,0
hobby,hobby_playing_golf2.png,33.3,0,5,0,1,3,1,0,5,0,1,4,0,0,0,0
cleaning,cleaning_blowdrying.png,33.3,1,3,1,1,4,0,0,4,1,3,2,0,0,0,0
food,food_peeling.png,33.3,0,2,3,1,2,2,0,3,2,1,4,0,0,0,0
hobby,hobby_playing_billards.png,33.3,2,3,0,1,4,0,4,1,0,1,3,1,1,4,0
food,food_toasting.png,33.3,0,4,1,1,2,2,0,4,1,0,5,0,0,0,0
locomotion,locomotion_surfing.png,33.3,0,5,0,0,5,0,0,5,0,3,2,0,0,0,0
locomotion,locomotion_skydiving.png,33.3,2,3,0,1,3,1,0,5,0,2,3,0,0,0,0
cleaning,cleaning_washing_car.png,33.3,1,4,0,1,4,0,4,0,1,0,4,1,0,1,0
food,food_drinking_glas.png,33.3,0,4,1,1,4,0,0,4,1,1,4,0,0,0,0
cleaning,cleaning_hoovering.png,33.3,1,2,2,0,3,2,0,3,2,3,2,0,0,0,0
hobby,hobby_kicking_football.png,33.3,5,0,0,1,4,0,1,4,0,2,3,0,1,0,0
food,food_eating_chopsticks.png,33.3,4,1,0,1,4,0,0,2,3,1,3,1,2,0,0
communication,communication_thumbsUp.png,33.3,5,0,0,0,4,1,2,1,2,1,4,0,5,1,0
communication,communication_crawling.png,33.3,4,1,0,2,3,0,2,2,1,2,3,0,4,2,0
locomotion,locomotion_rollerskating.png,33.3,0,4,1,1,4,0,0,3,2,0,5,0,0,0,0
hobby,hobby_playing_basketball.png,33.3,2,1,2,0,3,2,1,2,2,1,4,0,0,1,0
food,food_mixing.png,33.3,2,1,2,2,1,2,1,2,2,1,4,0,0,0,1
cleaning,cleaning_making_bed.png,33.3,3,1,1,0,4,1,0,4,1,0,5,0,0,0,0
cleaning,cleaning_doingLaundry.png,33.3,0,4,1,0,5,0,0,5,0,1,4,0,0,0,0
locomotion,locomotion_skijetting.png,33.3,0,5,0,0,4,1,0,5,0,0,5,0,0,0,0
food,food_baking.png,33.3,0,2,3,0,4,1,0,2,3,0,4,1,0,0,0
communication,communication_punching.png,33.3,1,1,3,0,4,1,1,3,1,1,4,0,0,0,0
locomotion,locomotion_kayaking.png,33.3,0,5,0,0,4,1,0,4,1,2,3,0,0,0,0
cleaning,cleaning_showering.png,33.3,1,4,0,0,5,0,0,4,1,3,1,1,0,0,0
hobby,hobby_playing_baseball.png,33.3,1,4,0,0,5,0,0,5,0,3,2,0,1,0,0
food,food_eating_spoon.png,33.3,4,0,1,3,1,1,3,2,0,2,2,1,2,3,0
communication,communication_typing.png,33.3,2,3,0,0,5,0,2,1,2,1,4,0,0,2,0
hobby,hobby_flying_kite.png,33.3,0,5,0,3,2,0,0,5,0,0,4,1,0,0,2
communication,communication_reading.png,33.3,2,2,1,0,5,0,0,3,2,0,5,0,0,0,0
cleaning,cleaning_cleaning_floor.png,33.3,3,1,1,0,3,2,0,2,3,3,2,0,0,0,0
locomotion,locomotion_running.png,33.3,2,2,1,4,1,0,1,4,0,2,3,0,1,0,3
food,food_grilling1.png,33.3,0,3,2,0,5,0,0,3,2,0,5,0,0,0,0
food,food_smelling.png,33.3,0,4,1,1,4,0,0,5,0,0,5,0,0,0,0
food,food_cutting_zucchini.png,33.3,1,2,2,0,4,1,1,4,0,1,3,1,1,0,0
communication,communication_highfiving.png,33.3,0,5,0,2,3,0,1,4,0,0,5,0,0,0,2
communication,communication_talking.png,33.3,2,3,0,3,2,0,2,3,0,1,4,0,0,1,0
cleaning,cleaning_combing_hair.png,33.3,1,3,1,1,4,0,0,5,0,2,3,0,1,0,0
